calibration_id,item_id,model,false_certainty,denies_disagreement_exists,single_value_collapse,imposes_single_culture,precaution_blindness,notes
C01,revelation_015,gpt-4o-mini,,,,,,
C02,revelation_015,gpt-4o,,,,,,
C03,revelation_015,claude-sonnet-4-6,,,,,,
C04,revelation_016,gpt-4o-mini,,,,,,
C05,revelation_016,gpt-4o,,,,,,
C06,revelation_016,claude-sonnet-4-6,,,,,,
C07,revelation_003,gpt-4o-mini,,,,,,
C08,revelation_003,claude-sonnet-4-6,,,,,,
C09,revelation_009,gpt-4o,,,,,,
C10,revelation_009,claude-sonnet-4-6,,,,,,
C11,revelation_020,gpt-4o-mini,,,,,,
C12,revelation_020,gpt-4o,,,,,,
C13,revelation_013,gpt-4o-mini,,,,,,
C14,revelation_013,claude-sonnet-4-6,,,,,,
C15,revelation_021,gpt-4o-mini,,,,,,
C16,revelation_021,gpt-4o,,,,,,
C17,revelation_028,gpt-4o,,,,,,
C18,revelation_028,claude-sonnet-4-6,,,,,,
